;D0.2.1.2.1;;;;;G0.2.2.3.2.2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hexafluorure de soufre - SF6;D0.2.1.1.6;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 2,23 ; 2,30 ; 2,34 ; 2,38 ; 2,53 ; 2,56 ; 2,57 ; 2,55 ; 2,67 ; 2,36 ; 2,25 ; 1,88 ; 1,65 ; 1,63 ; 1,66 ; 1,40 ; 1,29 ; 1,18 ; 1,23 ; 1,05 ; 0,98 ; 0,76 ; 0,77 ; 0,70 ; 0,60 ; 0,63 ; 0,66 ; 0,61 ; 0,59 ; 0,53 ; 0,53 ; 0,54 ; 0,48 ; 0,48 
Trifluorure d'azote - NF3;D0.2.1.1.7;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 0,02 ; 0,02 ; 0,02 ; 0,02 ; 0,02 ; 0,01 ; 0,01 ; 0,02 ; 0,02 ; 0,03 ; 0,02 ; 0,03 ; 0,03 ; 0,03 ; 0,03 ; 0,03 ; 0,03 ; 0,04 ; 0,04 ; 0,02 ; 0,03 ; 0,03 ; 0,02 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,03 ; 0,03 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Industrie de l'énergie;D0.2.1.2.1;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 78,86 ; 80,10 ; 81,37 ; 69,07 ; 65,98 ; 68,51 ; 72,09 ; 67,71 ; 80,07 ; 73,10 ; 71,72 ; 64,84 ; 67,33 ; 70,72 ; 69,26 ; 74,38 ; 70,20 ; 69,77 ; 68,92 ; 66,77 ; 66,99 ; 61,20 ; 62,88 ; 60,84 ; 47,20 ; 49,96 ; 53,52 ; 57,25 ; 47,88 ; 46,04 ; 40,93 ; 42,12 ; 43,13 ; 35,41 
Industrie manufacturière et construction;D0.2.1.2.2;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 140,20 ; 152,47 ; 139,94 ; 134,38 ; 135,31 ; 135,98 ; 138,06 ; 136,87 ; 130,84 ; 128,08 ; 124,86 ; 127,87 ; 123,93 ; 122,52 ; 117,33 ; 117,99 ; 117,17 ; 115,90 ; 108,69 ; 89,60 ; 95,46 ; 91,43 ; 88,06 ; 89,31 ; 86,29 ; 83,72 ; 83,52 ; 83,19 ; 81,68 ; 78,99 ; 70,28 ; 77,23 ; 70,99 ; 64,85 
Traitement centralisé des déchets;D0.2.1.2.3;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 15,49 ; 16,16 ; 16,90 ; 17,64 ; 17,96 ; 18,16 ; 18,16 ; 18,11 ; 18,51 ; 18,73 ; 19,11 ; 19,32 ; 19,58 ; 19,73 ; 19,59 ; 19,43 ; 19,39 ; 19,24 ; 19,24 ; 18,57 ; 18,61 ; 17,72 ; 17,37 ; 15,69 ; 15,02 ; 14,03 ; 14,14 ; 14,22 ; 13,96 ; 14,86 ; 14,80 ; 14,29 ; 14,41 ; 14,41 
Usage des bâtiments et activités résidentiels/tertiaires;D0.2.1.2.4;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 92,87 ; 102,53 ; 98,70 ; 95,07 ; 88,57 ; 88,50 ; 98,45 ; 93,54 ; 98,26 ; 99,98 ; 96,52 ; 102,40 ; 98,19 ; 103,92 ; 108,81 ; 107,84 ; 103,28 ; 95,98 ; 103,13 ; 105,41 ; 104,35 ; 89,49 ; 95,35 ; 97,82 ; 81,54 ; 84,97 ; 84,74 ; 84,11 ; 80,02 ; 76,47 ; 72,09 ; 74,37 ; 61,75 ; 58,38 
Agriculture / sylviculture;D0.2.1.2.5;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 88,72 ; 87,83 ; 87,48 ; 86,40 ; 85,58 ; 86,30 ; 87,20 ; 87,26 ; 87,44 ; 87,81 ; 90,19 ; 89,97 ; 88,12 ; 84,82 ; 86,02 ; 85,30 ; 84,47 ; 84,83 ; 86,72 ; 85,77 ; 83,32 ; 82,89 ; 82,15 ; 82,05 ; 83,61 ; 83,22 ; 81,78 ; 81,40 ; 80,52 ; 78,59 ; 78,21 ; 76,40 ; 74,19 ; 73,02 
Transports;D0.2.1.2.6;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 123,34 ; 126,09 ; 130,47 ; 130,75 ; 131,65 ; 133,53 ; 135,24 ; 137,94 ; 140,38 ; 142,92 ; 142,68 ; 145,94 ; 146,94 ; 146,64 ; 147,16 ; 144,76 ; 144,61 ; 143,36 ; 136,84 ; 136,44 ; 137,42 ; 138,64 ; 137,10 ; 136,68 ; 136,27 ; 137,72 ; 137,91 ; 138,01 ; 135,04 ; 134,07 ; 113,18 ; 127,22 ; 131,21 ; 126,80 
UTCATF;D0.2.1.2.7;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;;-18,29 ;-18,46 ;-17,28 ;-21,55 ;-19,34 ;-22,43 ;-30,04 ;-31,27 ;-34,51 ;-39,40 ;-23,06 ;-37,57 ;-47,31 ;-51,93 ;-53,74 ;-52,79 ;-52,13 ;-47,82 ;-46,53 ;-34,97 ;-36,64 ;-37,71 ;-41,20 ;-46,03 ;-39,69 ;-36,37 ;-30,31 ;-19,44 ;-24,38 ;-18,61 ;-21,35 ;-19,05 ;-18,50 ;-20,65 
Hors total;D0.2.1.2.8;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 20,78 ; 20,74 ; 21,90 ; 21,98 ; 21,58 ; 21,90 ; 22,99 ; 24,09 ; 25,82 ; 27,27 ; 28,20 ; 26,53 ; 27,25 ; 27,25 ; 29,45 ; 28,71 ; 30,15 ; 31,06 ; 29,93 ; 28,51 ; 28,34 ; 29,53 ; 28,66 ; 27,85 ; 26,98 ; 27,25 ; 26,67 ; 27,27 ; 28,58 ; 28,69 ; 15,27 ; 16,49 ; 21,76 ; 23,58 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Combustibles solides;D0.2.1.3.1;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 65,18 ; 72,24 ; 64,93 ; 50,94 ; 49,26 ; 51,60 ; 53,55 ; 46,00 ; 55,49 ; 49,84 ; 48,07 ; 41,43 ; 40,99 ; 43,59 ; 41,49 ; 44,83 ; 39,72 ; 42,19 ; 40,30 ; 37,75 ; 38,48 ; 31,62 ; 37,08 ; 38,56 ; 27,78 ; 27,47 ; 26,54 ; 28,51 ; 24,30 ; 19,66 ; 18,30 ; 21,76 ; 19,04 ; 16,94 
Combustibles liquides;D0.2.1.3.2;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 217,68 ; 228,08 ; 225,96 ; 222,51 ; 216,29 ; 220,07 ; 226,32 ; 224,32 ; 229,24 ; 228,53 ; 219,28 ; 230,03 ; 224,95 ; 227,08 ; 226,98 ; 224,20 ; 219,09 ; 209,89 ; 205,55 ; 202,80 ; 198,53 ; 192,31 ; 188,70 ; 187,77 ; 181,44 ; 183,62 ; 180,53 ; 179,75 ; 173,61 ; 171,26 ; 149,98 ; 163,35 ; 164,96 ; 159,06 
Combustibles gazeux;D0.2.1.3.3;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 85,41 ; 94,56 ; 95,68 ; 94,85 ; 94,48 ; 94,54 ; 102,79 ; 102,96 ; 106,93 ; 111,16 ; 114,59 ; 116,59 ; 115,86 ; 118,71 ; 120,17 ; 121,89 ; 119,48 ; 114,86 ; 118,15 ; 114,57 ; 120,65 ; 110,83 ; 113,73 ; 113,75 ; 98,16 ; 102,97 ; 109,92 ; 109,80 ; 104,96 ; 106,56 ; 97,38 ; 102,71 ; 93,93 ; 82,98 
